iter	Passed	Remaining
0	16	82255
1	31	78255
2	46	78234
3	61	76402
4	76	76857
5	92	76625
6	107	76729
7	122	76348
8	141	78208
9	160	79926
10	174	79236
11	190	79077
12	204	78499
13	218	77816
14	233	77633
15	247	77015
16	262	76883
17	276	76538
18	290	76257
19	305	76073
20	319	75853
21	335	75866
22	349	75731
23	366	76040
24	381	75893
25	395	75672
26	412	76009
27	431	76675
28	447	76633
29	461	76484
30	477	76518
31	492	76390
32	505	76041
33	519	75823
34	534	75857
35	550	75847
36	565	75802
37	579	75681
38	594	75600
39	610	75649
40	627	75912
41	644	76126
42	662	76347
43	679	76586
44	697	76837
45	712	76738
46	726	76593
47	742	76595
48	757	76498
49	771	76368
50	785	76213
51	800	76208
52	816	76234
53	831	76155
54	847	76154
55	862	76156
56	877	76088
57	892	76056
58	906	75922
59	921	75877
60	936	75842
61	952	75870
62	966	75706
63	979	75520
64	994	75473
65	1008	75417
66	1023	75349
67	1038	75341
68	1052	75243
69	1067	75157
70	1081	75083
71	1096	75057
72	1111	75015
73	1127	75030
74	1141	74986
75	1158	75076
76	1175	75130
77	1192	75229
78	1208	75290
79	1222	75201
80	1236	75119
81	1250	75015
82	1264	74902
83	1277	74777
84	1291	74703
85	1305	74596
86	1321	74636
87	1334	74472
88	1347	74361
89	1361	74294
90	1376	74240
91	1390	74167
92	1415	74701
93	1430	74671
94	1444	74595
95	1458	74485
96	1473	74483
97	1486	74373
98	1500	74263
99	1514	74191
100	1527	74104
101	1540	73972
102	1554	73883
103	1567	73807
104	1581	73725
105	1594	73635
106	1608	73551
107	1622	73488
108	1636	73437
109	1650	73384
110	1663	73263
111	1676	73161
112	1690	73103
113	1703	73017
114	1716	72921
115	1730	72847
116	1743	72767
117	1757	72715
118	1770	72637
119	1784	72555
120	1798	72503
121	1811	72438
122	1824	72353
123	1838	72278
124	1851	72195
125	1864	72113
126	1877	72033
127	1890	71948
128	1903	71877
129	1916	71811
130	1940	72108
131	1953	72053
132	1967	71985
133	1979	71888
134	1992	71794
135	2004	71683
136	2017	71619
137	2030	71520
138	2042	71417
139	2054	71336
140	2068	71288
141	2082	71232
142	2095	71167
143	2108	71093
144	2120	71009
145	2132	70904
146	2145	70815
147	2157	70729
148	2170	70651
149	2182	70553
150	2194	70460
151	2206	70370
152	2218	70292
153	2231	70219
154	2244	70169
155	2256	70068
156	2268	69966
157	2280	69874
158	2292	69806
159	2305	69746
160	2317	69662
161	2329	69555
162	2341	69481
163	2352	69357
164	2364	69297
165	2377	69219
166	2388	69137
167	2401	69068
168	2414	69031
169	2429	69023
170	2442	68972
171	2454	68907
172	2469	68897
173	2481	68829
174	2494	68787
175	2507	68730
176	2521	68716
177	2538	68755
178	2555	68818
179	2570	68823
180	2585	68832
181	2598	68793
182	2611	68728
183	2623	68673
184	2636	68620
185	2649	68572
186	2662	68523
187	2674	68463
188	2687	68402
189	2699	68351
190	2712	68284
