iter	Passed	Remaining
0	17	89150
1	33	84754
2	48	81077
3	63	78946
4	77	77404
5	92	77387
6	107	76358
7	121	75549
8	136	75523
9	153	76531
10	167	76194
11	182	75915
12	197	75754
13	211	75438
14	226	75326
15	240	75053
16	255	74944
17	269	74564
18	283	74291
19	297	74176
20	312	74190
21	327	74052
22	340	73754
23	354	73597
24	369	73442
25	383	73357
26	399	73517
27	414	73592
28	428	73387
29	442	73340
30	456	73180
31	470	73052
32	484	72872
33	498	72814
34	513	72774
35	529	73047
36	546	73267
37	560	73245
38	575	73186
39	589	73125
40	602	72931
41	617	72877
42	632	72890
43	646	72855
44	659	72663
45	673	72571
46	687	72477
47	702	72475
48	716	72373
49	730	72313
50	744	72211
51	757	72118
52	773	72165
53	788	72201
54	802	72149
55	818	72248
56	832	72173
57	845	72018
58	859	71938
59	873	71902
60	888	71926
61	903	71979
62	918	71998
63	933	71988
64	946	71897
65	961	71851
66	975	71834
67	990	71841
68	1004	71777
69	1018	71740
70	1032	71684
71	1046	71641
72	1060	71590
73	1074	71508
74	1087	71386
75	1103	71493
76	1118	71509
77	1136	71684
78	1152	71772
79	1169	71899
80	1185	72009
81	1202	72136
82	1218	72183
83	1233	72160
84	1246	72097
85	1261	72093
86	1276	72077
87	1290	72052
88	1305	72035
89	1320	72067
90	1386	74798
91	1410	75230
92	1425	75204
93	1439	75105
94	1454	75075
95	1470	75120
96	1485	75097
97	1500	75030
98	1529	75724
99	1546	75786
100	1562	75778
101	1577	75729
102	1594	75785
103	1609	75790
104	1625	75759
105	1639	75677
106	1653	75598
107	1666	75508
108	1680	75426
109	1695	75378
110	1710	75352
111	1724	75280
112	1739	75222
113	1753	75164
114	1768	75127
115	1782	75053
116	1796	74979
117	1811	74937
118	1825	74894
119	1840	74857
120	1854	74777
121	1868	74697
122	1882	74639
123	1897	74613
124	1912	74585
125	1925	74477
126	1939	74435
127	1954	74375
128	1967	74305
129	1981	74233
130	1996	74188
131	2010	74154
132	2024	74084
133	2038	74024
134	2052	73958
135	2065	73879
136	2079	73823
137	2094	73776
138	2108	73742
139	2123	73729
140	2138	73688
141	2152	73633
142	2166	73599
143	2180	73529
144	2193	73460
145	2208	73421
146	2221	73348
147	2235	73272
148	2248	73218
149	2262	73150
150	2276	73096
151	2290	73065
152	2303	72967
153	2317	72911
154	2330	72840
155	2345	72831
156	2361	72841
157	2379	72930
158	2397	72996
159	2433	73610
160	2449	73612
161	2463	73582
162	2480	73606
163	2496	73617
164	2513	73653
165	2531	73727
166	2550	73802
167	2566	73806
168	2581	73781
169	2596	73768
170	2610	73711
171	2623	73648
172	2638	73616
173	2652	73560
174	2666	73518
175	2681	73484
176	2695	73443
177	2709	73400
178	2723	73353
179	2736	73280
180	2750	73218
181	2764	73194
182	2778	73145
183	2792	73095
184	2805	73027
185	2819	72984
186	2834	72961
187	2848	72911
188	2862	72870
189	2876	72817
190	2890	72767
191	2903	72714
192	2917	72658
193	2930	72601
194	2944	72546
195	2958	72509
196	2972	72465
197	2985	72412
198	3001	72415
199	3017	72417
200	3032	72393
201	3046	72361
202	3060	72318
203	3074	72282
204	3088	72231
205	3102	72195
206	3116	72160
207	3130	72117
208	3144	72077
209	3157	72028
210	3170	71970
211	3183	71908
212	3198	71876
213	3216	71942
214	3239	72092
215	3257	72151
216	3285	72406
217	3323	72905
218	3386	73921
219	3405	74002
220	3425	74069
221	3446	74173
222	3465	74241
223	3483	74266
224	3504	74370
225	3527	74520
226	3543	74515
227	3558	74473
228	3572	74432
229	3585	74365
230	3599	74313
231	3615	74295
232	3628	74238
233	3643	74198
234	3657	74162
235	3671	74124
236	3686	74084
237	3701	74064
238	3715	74022
239	3731	73999
240	3745	73969
241	3761	73959
242	3776	73920
243	3791	73894
244	3806	73868
245	3820	73835
246	3836	73823
247	3851	73796
248	3865	73759
249	3879	73719
250	3894	73683
251	3908	73643
252	3925	73647
253	3939	73615
254	3955	73595
255	3970	73569
256	3985	73545
257	4000	73523
258	4014	73494
259	4029	73453
260	4044	73433
261	4059	73414
262	4073	73370
263	4088	73339
264	4102	73296
265	4117	73284
266	4132	73260
267	4150	73283
268	4166	73268
269	4186	73336
270	4208	73444
271	4223	73407
272	4237	73370
273	4251	73334
274	4265	73288
275	4279	73250
276	4294	73224
277	4309	73197
278	4324	73173
279	4338	73137
280	4353	73114
281	4367	73075
282	4383	73069
283	4398	73045
284	4414	73032
285	4429	73009
286	4446	73012
287	4462	73004
288	4477	72993
289	4507	73212
290	4524	73210
291	4540	73200
292	4554	73169
293	4569	73139
294	4584	73113
295	4598	73080
296	4613	73059
297	4627	73022
298	4641	72970
299	4654	72927
300	4669	72901
301	4683	72864
302	4699	72845
303	4713	72811
304	4728	72794
305	4742	72754
306	4757	72721
307	4771	72687
308	4786	72659
309	4800	72631
310	4815	72602
311	4829	72569
312	4844	72548
313	4858	72499
314	4873	72480
315	4888	72457
316	4903	72434
317	4916	72390
318	4930	72353
319	4945	72324
320	4959	72292
321	4973	72261
322	4988	72232
323	5003	72203
324	5017	72171
325	5031	72139
326	5046	72112
327	5060	72086
328	5074	72039
329	5088	72009
330	5102	71968
331	5116	71942
332	5131	71917
333	5145	71878
334	5160	71863
335	5175	71840
336	5191	71827
337	5205	71805
338	5221	71791
339	5236	71769
340	5249	71724
341	5264	71701
342	5279	71676
343	5293	71652
344	5308	71631
345	5323	71605
346	5338	71585
347	5353	71562
348	5368	71542
349	5381	71501
350	5398	71502
351	5413	71480
352	5428	71460
353	5443	71439
354	5458	71417
355	5473	71407
356	5497	71495
357	5511	71463
358	5526	71442
359	5541	71422
360	5554	71383
361	5569	71361
362	5584	71338
363	5598	71298
364	5612	71276
365	5627	71246
366	5641	71224
367	5655	71183
368	5668	71142
369	5683	71116
370	5698	71099
371	5712	71073
372	5727	71049
373	5743	71039
374	5759	71028
375	5774	71015
376	5788	70984
377	5802	70948
378	5816	70916
379	5830	70890
380	5845	70865
381	5860	70848
382	5874	70814
383	5889	70791
384	5902	70756
385	5917	70732
386	5931	70699
387	5945	70668
388	5960	70648
389	5973	70610
390	5987	70582
391	6001	70551
392	6016	70525
393	6031	70508
394	6045	70477
395	6059	70448
396	6072	70406
397	6086	70374
398	6100	70351
399	6113	70307
400	6127	70277
401	6142	70255
402	6156	70225
403	6171	70210
404	6187	70196
405	6201	70170
406	6215	70139
407	6229	70107
408	6243	70077
409	6257	70050
410	6271	70022
411	6285	69995
412	6299	69960
413	6312	69927
414	6327	69910
415	6340	69870
416	6354	69838
417	6368	69813
418	6382	69785
419	6396	69753
420	6410	69720
421	6425	69709
422	6440	69684
423	6454	69656
424	6468	69628
425	6486	69649
426	6502	69641
427	6518	69635
428	6535	69630
429	6549	69605
430	6564	69586
431	6578	69565
432	6593	69542
433	6607	69511
434	6621	69486
435	6635	69463
436	6650	69440
437	6664	69413
438	6679	69391
439	6692	69354
440	6706	69336
441	6720	69306
442	6735	69284
443	6749	69261
444	6764	69242
445	6778	69210
446	6791	69176
447	6805	69148
448	6819	69117
449	6832	69085
450	6845	69050
451	6859	69021
452	6873	68993
453	6887	68964
454	6901	68939
455	6916	68921
456	6930	68893
457	6944	68866
458	6959	68851
459	6973	68820
460	6986	68785
461	7000	68762
462	7013	68730
463	7027	68697
464	7040	68663
465	7054	68640
466	7069	68620
467	7083	68592
468	7097	68569
469	7111	68542
470	7126	68523
471	7139	68495
472	7154	68471
473	7168	68451
474	7182	68427
475	7197	68406
476	7210	68373
477	7224	68342
478	7237	68314
479	7251	68284
480	7265	68257
481	7279	68235
482	7294	68216
483	7307	68183
484	7321	68159
485	7335	68136
486	7349	68103
487	7362	68075
488	7376	68046
489	7390	68020
490	7404	67999
491	7419	67980
492	7433	67955
493	7447	67932
494	7462	67912
495	7478	67909
496	7493	67898
497	7508	67879
498	7523	67858
499	7536	67830
500	7550	67805
501	7564	67782
502	7578	67757
503	7592	67728
504	7606	67705
505	7621	67688
506	7635	67661
507	7648	67635
508	7662	67609
509	7677	67588
510	7691	67566
511	7705	67544
512	7719	67516
513	7732	67488
514	7747	67472
515	7760	67441
516	7775	67419
517	7788	67391
518	7802	67364
519	7816	67343
520	7830	67315
521	7843	67288
522	7857	67260
523	7870	67231
524	7885	67213
525	7899	67189
526	7911	67152
527	7925	67129
528	7938	67097
529	7951	67061
530	7964	67030
531	7978	67005
532	7991	66979
533	8005	66949
534	8016	66905
535	8029	66872
536	8043	66850
537	8056	66818
538	8069	66785
539	8081	66750
540	8094	66717
541	8106	66676
542	8119	66643
543	8132	66617
544	8145	66583
545	8158	66551
546	8170	66517
547	8184	66488
548	8196	66455
549	8210	66431
550	8232	66473
551	8250	66482
552	8268	66493
553	8285	66496
554	8298	66463
555	8311	66428
556	8323	66394
557	8336	66363
558	8349	66335
559	8361	66298
560	8374	66261
561	8386	66226
562	8398	66192
563	8411	66162
564	8426	66142
565	8438	66108
566	8457	66120
567	8475	66132
568	8488	66099
569	8501	66071
570	8514	66045
571	8529	66027
572	8543	66005
573	8555	65971
574	8568	65938
575	8581	65912
576	8594	65882
577	8607	65849
578	8619	65817
579	8632	65783
580	8645	65754
581	8658	65729
582	8672	65705
583	8684	65666
584	8697	65637
585	8709	65606
586	8722	65576
587	8736	65550
588	8748	65518
589	8761	65489
590	8775	65465
591	8788	65439
592	8801	65408
593	8813	65373
594	8827	65354
595	8840	65328
596	8853	65294
597	8866	65265
598	8881	65255
599	8895	65237
600	8911	65225
601	8925	65203
602	8938	65180
603	8953	65165
604	8968	65154
605	8983	65141
606	8998	65124
607	9014	65116
608	9029	65104
609	9045	65101
610	9062	65101
611	9077	65086
612	9091	65067
613	9104	65039
614	9117	65010
615	9130	64978
616	9144	64956
617	9158	64942
618	9176	64945
619	9192	64939
620	9206	64920
621	9221	64908
622	9235	64884
623	9248	64859
624	9261	64832
625	9274	64802
626	9287	64777
627	9308	64800
628	9320	64771
629	9335	64752
630	9347	64723
631	9360	64694
632	9374	64674
633	9387	64643
634	9399	64611
635	9412	64583
636	9425	64558
637	9437	64525
638	9454	64522
639	9472	64533
640	9493	64556
641	9506	64528
642	9518	64498
643	9532	64475
644	9545	64453
645	9559	64427
646	9573	64409
647	9586	64382
648	9599	64357
649	9612	64331
650	9625	64305
651	9639	64282
652	9653	64262
653	9666	64235
654	9679	64211
655	9694	64199
656	9708	64177
657	9722	64155
658	9735	64132
659	9749	64111
660	9764	64093
661	9777	64072
662	9791	64053
663	9804	64022
664	9817	63997
665	9831	63977
666	9844	63954
667	9861	63950
668	9887	64007
669	9904	64006
670	9920	64005
671	9936	63992
672	9950	63974
673	9966	63966
674	9981	63957
675	9999	63961
676	10017	63964
677	10035	63970
678	10049	63955
679	10062	63929
680	10078	63919
681	10092	63901
682	10106	63878
683	10119	63854
684	10133	63831
685	10147	63810
686	10162	63797
687	10176	63783
688	10190	63763
689	10203	63732
690	10217	63713
691	10232	63704
692	10247	63685
693	10259	63658
694	10273	63634
695	10286	63610
696	10300	63593
697	10315	63575
698	10329	63558
699	10343	63540
700	10357	63516
701	10370	63495
702	10384	63474
703	10399	63459
704	10413	63443
705	10427	63421
706	10444	63417
707	10462	63425
708	10476	63406
709	10494	63408
710	10507	63387
711	10519	63353
712	10532	63326
713	10545	63301
714	10558	63274
715	10570	63246
716	10583	63219
717	10596	63194
718	10607	63157
719	10618	63121
